name,position,age,height,league_rank,average_market_value,highest_market_value,total_played_minutes,average_minutes_played,average_assists_per_game,total_assists,assist_per_minute,average_goals_per_game,total_goals,goals_per_minute,total_yellow_cards,team_win_ratio,data_year,nationality,mil_average_market_value
Sebastian Vasiliadis,Midfield,24,177,2,1900000,2000000,1200,63.157894,0,0,0,0,0,0,3,.16666667,2023,Germany,1.9
Sebastian Walukiewicz,Defender,22,188,4,6000000,7000000,392,49,0,0,0,0,0,0,1,.19512194,2023,Poland,6
Sebastiano Luperto,Defender,25,191,4,2750000,3000000,2003,80.120003,.079999998,2,.00099850225,0,0,0,9,.29268292,2023,Italy,2.75
Seko Fofana,Midfield,27,185,5,21000000,25000000,3364,88.526314,.02631579,1,.00029726516,.21052632,8,.0023781213,2,.44736841,2023,Ivory Coast,21
Serge Aurier,Defender,29,176,3,12333333,15000000,1132,47.166668,.083333336,2,.0017667845,0,0,0,4,.42592594,2023,Ivory Coast,12.333333
Serge Gnabry,Attack,26,176,2,67500000,70000000,2748,61.066666,.22222222,10,.0036390102,.37777779,17,.0061863172,0,.70212764,2023,Germany,67.5
Sergej Milinković-Savić,Midfield,27,191,4,70000000,70000000,3778,80.38298,.25531915,12,.0031762838,.23404256,11,.0029115935,8,.4375,2023,Serbia,70
Serhou Guirassy,Attack,26,187,5,9666667,10000000,1095,28.076923,.025641026,1,.00091324199,.25641027,10,.0091324197,1,.55000001,2023,France,9.666667
Shandon Baptiste,Midfield,24,180,1,2333333.3,3000000,952,39.666668,0,0,0,.041666668,1,.0010504202,2,.34999999,2023,Grenada,2.3333333
Sheraldo Becker,Attack,27,180,2,4666666.5,7000000,2116,62.235294,.17647059,6,.0028355387,.17647059,6,.0028355387,6,.51219511,2023,Netherlands,4.6666665
Shkodran Mustafi,Defender,30,184,3,2000000,2000000,704,58.666668,0,0,0,.083333336,1,.0014204546,1,.23076923,2023,Germany,2
Sikou Niakaté,Defender,22,186,5,2000000,2200000,661,55.083332,0,0,0,0,0,0,2,.15789473,2023,France,2
Silvan Hefti,Defender,24,182,4,4500000,5000000,1993,76.653847,.07692308,2,.0010035123,.03846154,1,.00050175615,4,.14634146,2023,Switzerland,4.5
Silvan Widmer,Defender,29,183,2,5000000,5000000,3219,89.416664,.1388889,5,.0015532774,.11111111,4,.0012426219,1,.4054054,2023,Switzerland,5
Simon Asta,Defender,21,178,2,583333.31,900000,829,59.214287,0,0,0,0,0,0,1,.085714288,2023,Germany,.58333331
Simon Zoller,Attack,31,179,2,1450000,1800000,715,65,.27272728,3,.0041958042,.36363637,4,.0055944058,3,.39473686,2023,Germany,1.45
Simone Romagnoli,Defender,32,193,4,1100000,1200000,1752,79.63636,0,0,0,.090909094,2,.0011415525,5,.29268292,2023,Italy,1.1
Simone Verdi,Midfield,29,174,4,5500000,6500000,923,48.578949,0,0,0,.31578946,6,.0065005417,3,.2,2023,Italy,5.5
Sofian Kiyine,Midfield,24,182,4,2200000,2300000,1330,47.5,0,0,0,.035714287,1,.00075187971,8,.19512194,2023,Morocco,2.2
